"airline_name","link","title","author","author_country","date","content","lounge_name","airport","lounge_type","date_visit","type_traveller","overall_rating","comfort_rating","cleanliness_rating","bar_beverages_rating","catering_rating","washrooms_rating","wifi_connectivity_rating","staff_service_rating","recommended"
"adria-airways","/lounge-reviews/adria-airways","Adria Airways Business Class Lounge","R Deu","Spain","2014-03-09","There are 2 separate areas with arm chairs and TV for relaxing and working the other with other arm chairs PC computer TV bar and sitting area. There are newspapers and magazines also some airline magazines. Decoration is fresh and modern. It is clean and well maintained. Bottled drinks coffee machine cheese and salad sandwiches and sweets. This is a very small airport serving about 20 flights a day and the lounge is fine and over the quality of other airlines I visited in the past. If they provide a better coffee machine and a wider choice of snacks it would be quite an interesting lounge to relax.","ADRIA AIRWAYS BUSINESS CLASS LOUNGE REVIEW","","Business Class","","","3.0","3","4","3.0","3.0","3.0","2.0","2.0","1"
"aegean-airlines","/lounge-reviews/aegean-airlines","Business Class - Larnaca Airport","Andreas Kar","Germany","2015-06-13","It is a small, dark, windowless lounge located on the 3rd floor, accessible via elevator. The bar is well equipped with soft drinks, coffee, wines and biers.","Business Class","Larnaca Airport","Business Class","13-03-2015","Solo Leisure","5.0","4","4","3.0","3.0","3.0","4.0","4.0","1"
"aegean-airlines","/lounge-reviews/aegean-airlines","Aegean Airlines Business Class Lounge - Athens Airport","A Diakomichalis","Greece","2014-10-05","Both of the lounges have the same food (sandwiches yogurt cheese cheese pie fruits) and beverages (all sorts of coffee tea  bottled drinks alcoholic drinks  Greek wine) .The decoration in Thessaloniki is very stylish and the bathroom too . Athens is nice but probably needs to be updated.","AEGEAN AIRLINES BUSINESS CLASS LOUNGE REVIEW","Athens Airport","Business Class","","","5.0","5","5","5.0","4.0","4.0","5.0","5.0","1"
"aegean-airlines","/lounge-reviews/aegean-airlines","Aegean Airlines Business Class Lounge - Athens Airport","R Deu","Spain","2014-03-11","The lounge was clean and the decor is up to date with colourful chairs. Only one PC and mainly empty bar. Food is some sandwiches cheese and nuts. A lot needs to be improved. I went to Lufthansa lounge where hot food was provided.","AEGEAN AIRLINES BUSINESS CLASS LOUNGE REVIEW","Athens Airport","Business Class","","","2.0","3","3","2.0","1.0","2.0","3.0","2.0","0"
"aegean-airlines","/lounge-reviews/aegean-airlines","Aegean Airlines Business Class Lounge - Thessaloniki Airport","Petros Papadopoulos","United Kingdom","2012-07-24","Big and spacious lounge. Comfy sofas and a nice variety of food/drinks. The lounge was recently refurbished and looks very stylish. stuff very friendly and they let you know when your flight starts boarding.","AEGEAN AIRLINES BUSINESS CLASS LOUNGE REVIEW","Thessaloniki Airport","Business Class","","","5.0","5","5","4.0","4.0","4.0","5.0","5.0","1"
"aegean-airlines","/lounge-reviews/aegean-airlines","Aegean Airlines Business Class Lounge - Thessaloniki Airport","D Bissett","United States","2011-09-17","Surprisingly pleasant lounge. If traveling through Greece Thessaloniki makes a much better transfer point than Athens and this lounge was quite comfy and pleasant. The shuttle from the lounge to our flight is nice. Aegean Airlines was a pleasant host on our trip to Greece.","AEGEAN AIRLINES BUSINESS CLASS LOUNGE REVIEW","Thessaloniki Airport","Business Class","","","4.0","4","5","3.0","2.0","4.0","5.0","3.0","0"
"aegean-airlines","/lounge-reviews/aegean-airlines","Aegean Airlines Business Class Lounge - Athens Airport","Christos Louis","","2009-07-13","Large well lit lounge with a separate smoking area. It can be crowded at times but it is still relatively quiet unless somebody starts screaming into hes/her cell phone. Sandwiches ice cream cheese peanuts and croissants are always there and the bar is so so (no champagne!) with good espresso. Three computers are available and lately free Wi-fi is also provided. Relatively comfortable ""wire"" seats are available at round tables but if one sits at one of the sofas the risk of falling asleep is high. Careful lots of walking to some gates (especially B1 and 2) and sometimes lengthy security screen is after the lounge. Overall though a good lounge.","AEGEAN AIRLINES BUSINESS CLASS LOUNGE REVIEW","Athens Airport","Business Class","","","4.0","4","5","3.0","3.0","4.0","5.0","4.0","0"
"aer-lingus","/lounge-reviews/aer-lingus","Aer Lingus Gold Circle Lounge - London Heathrow Airport","S Nichols","United States","2015-05-29","Nice spacious area. Wifi is fine. Quiet. Self-serve food and bar area but limited offering for food. For breakfast - cereals and Danish. Staffing need some schooling on customer service a smile goes a long way but no-one was cracking even a small grin. No direction on the layout.","AER LINGUS GOLD CIRCLE LOUNGE REVIEW","London Heathrow Airport","","","","3.0","4","4","2.0","2.0","3.0","4.0","1.0","0"
"aer-lingus","/lounge-reviews/aer-lingus","Aer Lingus ""panorama"" Lounge - Dublin Airport","U Wright","United Kingdom","2015-03-29","Paid £50 for Are Lingus Lounge use for myself and my daughter on way to New York from Belfast via Dublin Airport. Couldn't believe such poor food offer at breakfast time. 3 cereals in plastic dispensers and a shared bowl of fruit salad to cater for everyone. Some small croissants only and not nice taste at that. Nothing else. Also poor reception from staff. What a rip off.","AER LINGUS ""PANORAMA"" LOUNGE REVIEW","Dublin Airport","","","","3.0","4","4","3.0","1.0","3.0","3.0","1.0","0"
"aer-lingus","/lounge-reviews/aer-lingus","Aer Lingus Gold Circle Lounge - London Heathrow Airport","Alan Wan","United Kingdom","2014-10-28","Much nicer lounge than the old terminal 1. There was lots of light from the floor to ceiling windows and good views of the runaway. However the choice of food (we were there 9-10.30am) was very limited: cereals croissants cheese and crackers. No bread or porridge. However the coffee was decent and if you really fancied it there was a good choice of alcohol.","AER LINGUS GOLD CIRCLE LOUNGE REVIEW","London Heathrow Airport","","","","4.0","4","5","4.0","2.0","4.0","4.0","3.0","1"
